duration,src_bytes,dst_bytes,count,protocol_type,service,flag,label,attack_type
844,462316,986350,1,tcp,ftp,S0,0,normal
767,370337,818276,12,tcp,ftp,SF,1,r2l
260,640150,399769,26,icmp,smtp,SF,0,normal
816,121819,632970,21,icmp,ftp,SF,0,normal
542,713832,548642,26,tcp,ssh,SF,0,normal
488,728009,966838,9,icmp,http,REJ,0,normal
632,56237,307149,47,tcp,ssh,SF,0,normal
526,5461185,795361,29,icmp,ssh,S0,1,dos
770,400819,674001,21,tcp,http,S0,0,normal
156,605734,811008,14,icmp,smtp,RSTO,0,normal
190,982022,661863,7,udp,http,S0,0,normal
620,786073,198831,47,tcp,ftp,SF,0,normal
335,289661,711654,36,udp,ssh,SF,0,normal
34,666430,582890,18,icmp,http,S0,0,normal
505,328445,304925,22,udp,ftp,REJ,0,normal
180,938697,781293,31,icmp,http,S0,0,normal
326,763420,912696,16,tcp,ftp,REJ,0,normal
973,610791,810777,19,udp,ssh,RSTO,0,normal
561,2781135,744328,35,udp,http,SF,1,dos
240,761171,374901,44,tcp,ftp,RSTO,0,normal
579,216413,156130,19,icmp,http,SF,0,normal
388,225,928674,24,icmp,ssh,RSTO,0,normal
6,3594916,837725,3,icmp,ftp,S0,1,r2l
711,899567,892677,48,udp,ssh,S0,0,normal
16,403874,939287,13,icmp,smtp,S0,0,normal
985,987588,998133,21,icmp,ftp,RSTO,0,normal
296,477191,218137,49,tcp,smtp,SF,0,normal
859,385623,962306,29,tcp,http,S0,0,normal
586,7672600,615871,7,udp,http,SF,1,r2l
256,609095,571341,15,tcp,ssh,REJ,0,normal
924,5161471,944770,28,udp,ftp,S0,1,probe
789,275627,279262,1,icmp,ssh,S0,0,normal
120,600323,581289,18,udp,ftp,RSTO,0,normal
21,896741,970531,14,icmp,ftp,RSTO,0,normal
193,882681,301236,3,icmp,ftp,SF,0,normal
170,4768579,21525,32,udp,smtp,REJ,1,probe
502,8376634,671661,37,tcp,ftp,RSTO,1,dos
328,16025,830175,4,udp,smtp,SF,0,normal
812,480827,644885,27,tcp,ftp,S0,0,normal
688,315904,995041,21,udp,ssh,SF,0,normal
899,8741165,353024,17,udp,ssh,REJ,1,probe
843,1774311,788376,43,udp,http,REJ,1,r2l
549,8471699,972666,35,icmp,http,S0,1,dos
866,909511,828761,39,udp,http,SF,0,normal
50,600105,300771,42,tcp,ftp,SF,0,normal
891,230884,153218,2,udp,http,RSTO,0,normal
661,366644,724869,1,tcp,ssh,S0,0,normal
462,957225,192123,46,tcp,smtp,SF,0,normal
807,376388,974563,49,icmp,smtp,SF,0,normal
48,957470,834616,38,udp,ftp,RSTO,0,normal
828,330236,81765,9,icmp,ftp,RSTO,0,normal
275,946191,404181,7,icmp,smtp,S0,0,normal
368,14826,344461,0,icmp,smtp,S0,0,normal
644,871938,185919,3,udp,ftp,SF,0,normal
728,256831,522336,38,udp,ftp,REJ,0,normal
800,475364,433297,22,udp,ftp,REJ,0,normal
397,3215359,250077,3,icmp,ftp,RSTO,1,dos
394,629013,320430,7,icmp,ftp,S0,1,dos
791,44802,168994,44,tcp,http,S0,0,normal
100,641605,941394,21,icmp,ftp,REJ,0,normal
886,7973343,847103,23,tcp,ftp,SF,1,r2l
792,4827474,599239,41,tcp,ftp,SF,1,probe
616,481111,828648,17,icmp,http,S0,0,normal
819,665532,733797,33,tcp,ftp,RSTO,0,normal
832,3018801,562644,24,udp,ssh,SF,1,r2l
891,3582744,721817,8,udp,smtp,REJ,1,r2l
865,868899,658290,35,udp,http,SF,0,normal
649,772627,850001,43,tcp,http,S0,0,normal
535,99947,921693,0,udp,smtp,REJ,0,normal
410,151758,959647,6,udp,ftp,REJ,0,normal
394,265325,807376,24,icmp,ftp,S0,0,normal
388,325473,961087,28,udp,ftp,SF,0,normal
763,9973423,218893,1,tcp,http,SF,1,dos
266,580676,989458,21,icmp,ssh,S0,0,normal
396,250460,321102,11,tcp,http,RSTO,0,normal
6,142266,367158,48,tcp,ftp,S0,0,normal
44,591545,472587,45,udp,ssh,REJ,0,normal
836,717335,106321,39,tcp,ftp,REJ,0,normal
881,586670,653801,14,udp,http,S0,0,normal
281,981306,21007,20,tcp,smtp,S0,1,probe
63,458574,82331,47,udp,ssh,REJ,1,probe
402,932468,79195,30,udp,ssh,RSTO,0,normal
988,179595,821090,0,tcp,ftp,REJ,0,normal
792,587727,296014,5,tcp,ftp,S0,0,normal
721,119843,561528,8,tcp,ftp,REJ,0,normal
30,1590281,276633,30,tcp,http,SF,1,dos
322,8607157,852771,27,tcp,ftp,S0,1,dos
201,604276,629447,16,udp,ssh,RSTO,0,normal
604,700329,229618,2,udp,http,REJ,0,normal
591,9863422,258397,17,tcp,http,S0,1,probe
157,318795,874164,27,udp,ftp,SF,0,normal
508,1227138,42574,28,icmp,http,RSTO,1,r2l
324,412137,177806,0,tcp,smtp,REJ,0,normal
650,832269,816219,49,tcp,smtp,SF,0,normal
943,9951664,63287,18,tcp,http,REJ,1,dos
322,51544,40517,16,tcp,ssh,SF,0,normal
719,4704378,658541,45,udp,ftp,RSTO,1,dos
456,9801689,928652,43,udp,ftp,RSTO,1,probe
772,195,74945,18,udp,smtp,REJ,0,normal
605,9561157,189066,22,icmp,ftp,SF,1,probe
278,898207,723761,49,icmp,smtp,SF,0,normal
655,79559,159395,45,udp,smtp,RSTO,0,normal
697,360878,233975,26,icmp,http,S0,0,normal
807,443611,764940,31,udp,smtp,SF,0,normal
891,298928,531864,34,tcp,ssh,REJ,0,normal
830,334198,565856,26,icmp,smtp,SF,0,normal
326,103790,602268,42,icmp,ssh,REJ,0,normal
760,941421,860851,9,tcp,http,SF,0,normal
871,3439243,2897,29,tcp,http,S0,1,r2l
375,164024,434149,9,tcp,ssh,RSTO,0,normal
696,8691773,964193,44,icmp,smtp,RSTO,1,probe
238,771639,192125,23,tcp,ftp,S0,0,normal
385,3016015,325188,46,tcp,http,REJ,1,probe
211,259902,696524,42,icmp,smtp,S0,0,normal
441,602009,613795,35,icmp,ssh,SF,1,dos
728,306786,981643,23,udp,smtp,SF,0,normal
740,2457258,780573,43,udp,ftp,REJ,1,dos
801,7363958,415291,27,icmp,ssh,RSTO,1,r2l
569,6039619,190034,3,icmp,ftp,RSTO,1,r2l
309,608307,94397,18,tcp,http,REJ,0,normal
167,562405,569758,19,udp,ssh,RSTO,0,normal
86,637732,54918,42,icmp,ftp,SF,0,normal
48,884793,94699,1,icmp,ssh,RSTO,0,normal
129,180071,835561,47,tcp,http,SF,1,probe
516,44581,959369,32,tcp,ssh,S0,0,normal
21,869449,188038,21,udp,ssh,RSTO,0,normal
329,339357,669979,11,tcp,http,RSTO,0,normal
105,5006262,547138,33,icmp,http,REJ,1,r2l
144,114927,356599,44,tcp,ssh,SF,0,normal
932,338418,369358,24,udp,http,S0,0,normal
756,9525624,37272,44,udp,smtp,RSTO,1,probe
580,108488,575849,29,udp,ftp,RSTO,0,normal
638,454513,380440,0,udp,ssh,SF,0,normal
819,719934,720274,42,icmp,ftp,REJ,0,normal
300,61308,276121,46,udp,smtp,RSTO,0,normal
177,836144,972206,5,icmp,ssh,S0,0,normal
243,484752,114578,28,tcp,http,SF,0,normal
587,241104,226652,9,udp,ftp,SF,0,normal
391,999324,724941,36,tcp,http,REJ,0,normal
732,303568,230556,24,icmp,http,S0,0,normal
175,272351,132574,28,udp,ssh,SF,0,normal
360,711391,897343,26,icmp,ssh,REJ,0,normal
470,128003,689269,25,tcp,ftp,RSTO,0,normal
190,944038,596791,26,icmp,ftp,REJ,0,normal
705,178063,923024,32,udp,http,REJ,0,normal
641,147890,797018,22,icmp,ssh,RSTO,0,normal
836,89338,250178,10,icmp,smtp,SF,0,normal
164,3170886,821316,4,tcp,http,RSTO,1,r2l
832,458503,287864,6,tcp,smtp,REJ,0,normal
608,5238318,248832,5,tcp,http,RSTO,1,dos
221,954600,413704,34,tcp,ssh,RSTO,0,normal
812,297207,674936,21,udp,ssh,S0,0,normal
846,6950473,298893,2,tcp,http,S0,1,r2l
238,8563444,725906,15,icmp,ssh,S0,1,r2l
973,481353,734256,47,tcp,smtp,REJ,0,normal
631,348289,545571,10,udp,http,SF,0,normal
448,3698475,128593,29,udp,http,RSTO,1,r2l
803,822621,485315,20,icmp,ftp,S0,0,normal
833,429418,772843,32,icmp,http,S0,0,normal
341,115680,861581,19,udp,ftp,REJ,0,normal
0,273396,446298,41,tcp,smtp,REJ,0,normal
113,140511,376140,38,icmp,smtp,RSTO,0,normal
89,980952,986732,45,udp,smtp,S0,0,normal
822,570672,850034,32,udp,http,REJ,0,normal
629,539811,274796,3,tcp,http,SF,0,normal
548,217473,272270,9,udp,smtp,RSTO,0,normal
521,691545,368325,1,udp,ftp,S0,0,normal
434,457006,413771,42,icmp,http,REJ,0,normal
757,8006,919228,29,udp,ssh,S0,0,normal
61,4032786,177593,3,udp,smtp,REJ,1,dos
590,517109,39434,13,icmp,ssh,RSTO,0,normal
258,103780,291882,33,udp,smtp,REJ,0,normal
846,153808,796389,29,udp,http,REJ,0,normal
871,7839899,709559,15,tcp,smtp,REJ,1,dos
45,594098,893110,24,tcp,smtp,SF,0,normal
262,483436,928402,24,icmp,http,S0,0,normal
251,125468,702895,30,icmp,ftp,RSTO,1,r2l
653,671863,11284,20,icmp,smtp,RSTO,0,normal
603,428783,831306,49,tcp,smtp,REJ,0,normal
1,908279,813910,38,icmp,smtp,S0,0,normal
500,1111083,814460,25,tcp,ssh,REJ,1,probe
402,674119,216755,17,icmp,http,RSTO,0,normal
272,378637,195341,46,tcp,smtp,RSTO,0,normal
893,632053,397249,22,icmp,ftp,SF,0,normal
120,771530,795216,29,icmp,smtp,S0,0,normal
552,695697,307063,17,tcp,http,RSTO,0,normal
146,525603,983646,11,udp,ftp,S0,0,normal
425,96234,448903,1,tcp,smtp,SF,0,normal
362,189107,327954,2,icmp,ssh,SF,0,normal
337,957004,980662,42,icmp,smtp,RSTO,0,normal
954,599307,459546,45,udp,smtp,SF,0,normal
776,653080,435733,13,tcp,ftp,REJ,0,normal
490,967763,146963,28,tcp,http,S0,0,normal
108,830631,502567,4,icmp,smtp,SF,0,normal
279,667836,397728,26,udp,ftp,RSTO,0,normal
800,117084,73261,12,icmp,http,REJ,0,normal
17,3577744,695439,15,udp,ssh,S0,1,dos
541,9634103,892022,0,icmp,smtp,REJ,1,r2l
168,574201,295938,24,tcp,ssh,RSTO,0,normal
936,429924,893453,31,icmp,smtp,REJ,1,dos
691,421167,814370,26,udp,ssh,S0,0,normal
761,616406,699219,8,tcp,ssh,REJ,0,normal
616,229263,713484,20,icmp,http,SF,0,normal
770,418241,52984,44,icmp,smtp,S0,0,normal
848,5030158,723803,7,icmp,http,RSTO,1,dos
782,209046,48814,12,icmp,http,SF,0,normal
10,80136,132488,17,tcp,ftp,RSTO,0,normal
864,35511,588838,34,udp,ssh,S0,0,normal
825,118264,943108,13,udp,ftp,S0,0,normal
448,499755,108759,12,udp,ftp,S0,0,normal
464,3831672,598793,35,udp,smtp,RSTO,1,probe
395,249097,854699,45,icmp,ftp,REJ,0,normal
567,73890,410883,23,icmp,ssh,RSTO,0,normal
145,7101394,791904,24,tcp,ssh,S0,1,dos
742,817746,218010,10,icmp,ssh,RSTO,0,normal
545,5592345,427701,22,udp,ssh,SF,1,r2l
684,306393,27660,43,udp,http,S0,0,normal
990,836,174565,8,tcp,smtp,S0,0,normal
863,7624734,630599,42,tcp,ssh,S0,1,r2l
87,510353,338769,35,udp,ftp,REJ,0,normal
932,592386,139525,31,udp,ssh,REJ,0,normal
343,5459796,933342,13,udp,ssh,SF,1,dos
257,496395,577270,13,udp,smtp,REJ,0,normal
163,539096,871144,42,udp,smtp,REJ,0,normal
681,386750,446126,9,tcp,ssh,SF,0,normal
995,3299664,693967,38,tcp,ftp,RSTO,1,probe
561,8581611,705771,4,tcp,http,SF,1,r2l
376,568050,489754,9,udp,http,RSTO,0,normal
104,839129,171955,18,udp,smtp,REJ,0,normal
392,436788,105564,43,udp,smtp,REJ,0,normal
200,412474,761367,7,icmp,smtp,SF,0,normal
902,818484,353208,22,tcp,ssh,S0,0,normal
311,262441,65834,39,tcp,ssh,S0,0,normal
725,91009,966084,26,icmp,ftp,REJ,0,normal
830,916759,682279,0,udp,http,REJ,0,normal
752,363953,778343,49,icmp,http,RSTO,0,normal
0,32936,258071,39,icmp,smtp,REJ,0,normal
634,62853,49873,47,udp,smtp,SF,0,normal
95,207135,702197,2,udp,http,REJ,0,normal
181,153487,43625,24,tcp,ftp,S0,0,normal
570,159378,190741,7,icmp,http,RSTO,0,normal
935,587531,128928,3,icmp,smtp,RSTO,0,normal
741,801000,72305,18,tcp,ssh,RSTO,0,normal
881,300336,532860,27,tcp,http,SF,0,normal
398,3211613,541544,6,tcp,http,REJ,1,r2l
654,4165004,242991,27,icmp,ftp,S0,1,probe
51,164872,904204,0,tcp,ssh,RSTO,0,normal
949,440406,302422,47,udp,ssh,REJ,0,normal
890,581870,665435,46,udp,ftp,S0,1,dos
10,732919,384429,46,tcp,ftp,SF,0,normal
118,162597,461908,32,udp,http,REJ,0,normal
714,471019,929893,27,tcp,ssh,REJ,0,normal
499,5123557,361288,49,icmp,smtp,REJ,1,probe
223,16074,947960,15,udp,smtp,RSTO,0,normal
161,7609456,26416,30,udp,ssh,REJ,1,r2l
570,574721,333609,40,tcp,ftp,REJ,0,normal
803,538938,346319,49,icmp,ftp,REJ,0,normal
671,565236,775384,26,tcp,ftp,S0,0,normal
113,2837805,710330,0,icmp,ssh,RSTO,1,probe
8,7283110,794089,31,tcp,ftp,SF,1,dos
920,118983,947535,33,tcp,ssh,REJ,0,normal
628,6903497,502646,48,tcp,smtp,REJ,1,probe
132,7128859,622678,29,udp,ssh,S0,1,dos
488,656915,124822,16,tcp,http,S0,0,normal
215,501299,693543,23,icmp,ftp,REJ,0,normal
70,631336,680899,0,tcp,ftp,S0,0,normal
47,819819,519161,42,tcp,smtp,REJ,0,normal
297,12637,657434,11,tcp,ftp,REJ,0,normal
154,474380,393582,25,tcp,ssh,RSTO,0,normal
436,978017,433203,11,udp,smtp,SF,0,normal
292,747878,844254,19,tcp,http,S0,0,normal
548,6595350,667675,29,tcp,ftp,S0,1,r2l
631,623685,259136,5,udp,ssh,REJ,0,normal
99,194486,582406,16,tcp,http,REJ,0,normal
862,829886,246018,23,tcp,ftp,RSTO,0,normal
635,904175,991359,16,icmp,ssh,S0,0,normal
314,293136,774091,2,icmp,http,SF,0,normal
188,461250,261075,9,icmp,ftp,S0,0,normal
959,675486,67993,33,tcp,ftp,S0,0,normal
799,447137,313018,36,icmp,smtp,RSTO,0,normal
216,105434,525178,4,udp,smtp,S0,0,normal
302,959480,191647,33,icmp,ssh,S0,0,normal
318,591632,293627,17,tcp,ssh,REJ,0,normal
730,603075,562641,35,tcp,ftp,S0,0,normal
468,508713,429397,10,udp,smtp,SF,0,normal
570,946110,962194,30,tcp,smtp,REJ,0,normal
326,831720,65803,18,tcp,smtp,S0,0,normal
308,923733,687360,25,udp,http,S0,0,normal
881,7801,471426,35,tcp,smtp,SF,0,normal
961,616427,434648,31,icmp,ssh,REJ,0,normal
178,337698,793942,12,tcp,ssh,SF,0,normal
960,351733,313141,27,tcp,ftp,SF,0,normal
19,49169,884251,4,icmp,ftp,SF,0,normal
656,860546,298747,13,tcp,ssh,RSTO,0,normal
885,990975,805435,41,tcp,ftp,RSTO,0,normal
163,116804,772409,15,udp,ftp,SF,0,normal
867,834338,897930,36,icmp,ftp,REJ,0,normal
984,512014,475560,43,icmp,smtp,RSTO,0,normal
324,545004,129980,21,tcp,ftp,SF,0,normal
448,734495,682683,1,udp,smtp,SF,0,normal
452,456052,459962,9,tcp,smtp,SF,0,normal
149,156672,424344,42,udp,ssh,S0,0,normal
678,501343,881049,2,tcp,ssh,RSTO,1,dos
433,793644,791191,11,tcp,smtp,RSTO,0,normal
527,392367,723775,36,tcp,http,SF,0,normal
217,748736,197693,1,icmp,smtp,RSTO,0,normal
139,327980,497105,7,udp,ssh,REJ,0,normal
974,194621,850134,16,udp,smtp,RSTO,0,normal
765,967910,472774,5,tcp,ssh,S0,0,normal
536,185484,404660,42,udp,ftp,S0,0,normal
487,415421,396418,6,udp,ftp,RSTO,0,normal
662,268550,840213,7,tcp,ftp,REJ,0,normal
571,167986,988952,24,tcp,ssh,SF,0,normal
803,736365,878372,13,udp,http,REJ,0,normal
705,192562,886475,24,icmp,ssh,RSTO,0,normal
24,4707140,219548,41,udp,smtp,SF,1,probe
319,4174617,229229,40,icmp,smtp,REJ,1,probe
298,31971,591491,23,udp,http,RSTO,0,normal
807,258860,783369,30,icmp,smtp,REJ,0,normal
65,442624,426796,30,tcp,smtp,REJ,0,normal
544,8679848,420069,47,icmp,smtp,REJ,1,probe
870,842956,190451,3,icmp,http,S0,0,normal
157,140958,693252,16,udp,http,SF,0,normal
213,967592,191609,30,tcp,smtp,REJ,0,normal
908,185510,266868,11,tcp,ftp,S0,0,normal
875,284758,379579,29,udp,http,REJ,0,normal
968,675872,124192,40,icmp,http,S0,0,normal
951,638355,661270,17,icmp,http,S0,0,normal
994,626518,193613,1,tcp,smtp,REJ,0,normal
275,242831,462913,30,udp,ftp,S0,0,normal
657,438396,361874,38,tcp,ftp,SF,0,normal
801,887146,644601,12,tcp,http,S0,0,normal
442,163149,24658,27,udp,smtp,SF,0,normal
524,9733537,922057,44,icmp,ssh,REJ,1,r2l
105,967944,594581,14,icmp,ssh,RSTO,0,normal
316,1816718,918139,9,tcp,ftp,REJ,1,probe
27,9473410,174445,35,tcp,ftp,SF,1,r2l
640,752919,611124,32,udp,smtp,RSTO,0,normal
391,619294,905514,34,udp,ftp,S0,0,normal
155,479437,221890,35,tcp,ssh,SF,0,normal
101,478996,860857,29,udp,ssh,SF,0,normal
745,102236,726932,24,tcp,http,RSTO,0,normal
589,1674043,409428,33,icmp,ftp,RSTO,1,probe
9,82714,614538,7,tcp,http,REJ,0,normal
684,482064,313887,42,tcp,smtp,S0,0,normal
449,21777,319506,5,udp,smtp,SF,0,normal
871,144797,608617,34,tcp,ssh,REJ,0,normal
761,453110,812859,26,udp,ftp,S0,0,normal
111,875256,137802,16,udp,smtp,SF,0,normal
986,2031480,280340,20,icmp,smtp,RSTO,1,probe
323,761050,755468,41,udp,ssh,S0,0,normal
392,4787,904950,4,icmp,ssh,S0,0,normal
972,2271123,172171,31,icmp,ssh,RSTO,1,r2l
61,637191,859591,9,tcp,ssh,S0,0,normal
764,836446,365907,46,udp,smtp,S0,0,normal
460,391609,43259,48,icmp,smtp,RSTO,0,normal
211,758544,455770,15,tcp,ssh,S0,0,normal
24,511419,29865,4,tcp,http,RSTO,0,normal
272,126847,828807,30,icmp,smtp,REJ,0,normal
159,885482,210452,49,udp,ftp,SF,0,normal
301,769536,350797,32,tcp,http,RSTO,0,normal
985,87508,530500,3,icmp,http,RSTO,0,normal
902,734115,226019,3,tcp,http,SF,0,normal
812,226320,337702,3,tcp,http,REJ,0,normal
947,442956,985733,32,udp,smtp,SF,0,normal
36,33049,285504,5,icmp,smtp,RSTO,0,normal
313,40732,381431,21,udp,http,RSTO,0,normal
629,860052,967315,31,tcp,ftp,REJ,0,normal
456,9084546,427519,26,tcp,http,S0,1,probe
479,569922,500762,34,tcp,smtp,RSTO,0,normal
853,396098,547445,5,udp,smtp,SF,0,normal
723,695047,237765,7,icmp,http,S0,0,normal
213,935748,275719,44,icmp,ftp,RSTO,0,normal
331,644641,972775,1,icmp,ftp,S0,0,normal
738,622811,948671,5,icmp,smtp,RSTO,0,normal
178,971495,960730,1,tcp,ssh,S0,0,normal
213,308424,853047,18,udp,ssh,REJ,0,normal
439,497188,525014,14,tcp,http,S0,0,normal
9,486529,167892,12,tcp,ssh,SF,0,normal
517,358302,826694,9,tcp,http,RSTO,0,normal
521,213465,844832,43,icmp,ftp,RSTO,0,normal
908,565049,554535,28,icmp,smtp,S0,0,normal
166,592022,728830,32,tcp,ftp,S0,0,normal
831,430599,784306,12,tcp,http,SF,0,normal
919,4379175,631266,26,udp,ssh,RSTO,1,probe
913,648923,47042,22,tcp,ssh,SF,0,normal
524,243746,354012,33,udp,smtp,RSTO,0,normal
178,31684,479733,27,icmp,ftp,S0,0,normal
346,92119,632761,1,icmp,ssh,S0,0,normal
958,257511,518850,39,tcp,ftp,RSTO,0,normal
532,922490,433218,47,udp,smtp,SF,1,r2l
146,412650,520585,7,icmp,smtp,REJ,0,normal
678,907987,815198,37,icmp,http,RSTO,0,normal
518,365665,126991,34,udp,http,SF,0,normal
393,484709,725331,32,icmp,http,REJ,0,normal
722,432081,433679,15,udp,http,RSTO,0,normal
602,618327,140236,9,udp,smtp,REJ,0,normal
72,739522,726665,27,icmp,http,SF,0,normal
219,132375,992932,3,udp,ssh,SF,0,normal
823,365345,633185,27,udp,ssh,REJ,0,normal
580,958918,75585,7,tcp,ftp,RSTO,0,normal
55,838231,459296,39,icmp,ssh,RSTO,0,normal
204,828911,971894,29,tcp,ftp,S0,1,r2l
886,857357,96857,31,icmp,ftp,REJ,0,normal
454,2226,910029,37,icmp,ssh,SF,0,normal
81,540536,315157,24,udp,ftp,RSTO,0,normal
598,257211,185230,46,icmp,http,RSTO,0,normal
124,95812,372075,44,tcp,http,RSTO,0,normal
740,219276,359061,46,icmp,ftp,REJ,0,normal
400,897914,285135,16,udp,smtp,SF,0,normal
653,914788,697765,22,udp,ftp,S0,0,normal
548,4006100,780987,0,udp,ftp,SF,1,dos
256,778061,458937,14,icmp,smtp,S0,0,normal
941,140961,542154,11,icmp,http,SF,0,normal
138,958200,741242,2,icmp,http,RSTO,0,normal
964,5906070,964174,21,icmp,http,REJ,1,dos
866,706415,846659,24,udp,ftp,SF,0,normal
69,303120,326099,9,udp,smtp,S0,0,normal
87,849203,831724,6,udp,ssh,REJ,0,normal
100,299256,575332,40,udp,http,S0,0,normal
203,526633,859369,33,udp,http,RSTO,0,normal
254,408397,830729,5,tcp,ftp,RSTO,0,normal
179,1401793,443960,35,icmp,http,RSTO,1,probe
331,839218,480958,34,udp,ftp,REJ,0,normal
184,8627,631186,11,tcp,ftp,REJ,0,normal
16,77176,897658,9,icmp,ftp,S0,0,normal
951,432830,317434,46,udp,ftp,S0,0,normal
925,597724,777637,14,icmp,http,SF,0,normal
894,244342,876962,18,udp,smtp,RSTO,0,normal
852,2290029,159579,13,udp,http,S0,1,probe
291,193540,872657,10,icmp,http,S0,0,normal
397,462891,486721,17,udp,smtp,S0,0,normal
570,136767,281295,8,icmp,ssh,REJ,0,normal
256,307072,361676,6,udp,http,S0,0,normal
506,463114,256142,18,tcp,ftp,S0,0,normal
25,134084,80029,4,icmp,http,SF,0,normal
707,17387,214868,11,udp,smtp,S0,0,normal
453,6785267,544453,29,udp,ftp,SF,1,dos
108,574358,669150,47,udp,ftp,RSTO,0,normal
295,885901,714847,21,udp,ftp,SF,0,normal
490,445138,753117,25,tcp,http,REJ,0,normal
523,829424,153330,4,tcp,http,SF,0,normal
761,82484,213394,39,udp,ftp,RSTO,0,normal
749,77791,801802,21,tcp,ssh,S0,0,normal
227,248203,237349,10,tcp,http,SF,0,normal
440,43848,686262,24,tcp,smtp,REJ,0,normal
171,600133,411848,41,udp,http,S0,0,normal
759,3286030,344549,1,icmp,smtp,RSTO,1,r2l
976,7065666,796734,24,icmp,smtp,SF,1,probe
315,710352,760001,7,icmp,http,SF,0,normal
177,72422,403821,12,tcp,ftp,SF,0,normal
683,131223,231391,33,tcp,smtp,RSTO,0,normal
340,7827919,977124,2,tcp,smtp,SF,1,probe
706,171373,406514,8,tcp,smtp,REJ,0,normal
370,173306,22609,13,icmp,ssh,SF,0,normal
281,855212,612542,15,tcp,http,REJ,1,probe
292,287514,179544,34,tcp,http,S0,0,normal
273,5979111,352189,35,icmp,ssh,SF,1,r2l
153,5516533,748269,29,icmp,http,SF,1,r2l
827,24331,603963,45,tcp,ftp,RSTO,0,normal
591,2526924,689140,10,udp,smtp,RSTO,1,r2l
874,449210,611385,41,tcp,http,RSTO,0,normal
390,852878,194778,38,tcp,http,SF,0,normal
348,3991362,660916,11,udp,smtp,SF,1,probe
901,1831429,785871,32,udp,smtp,SF,1,probe
120,368337,948899,1,udp,smtp,RSTO,0,normal
535,9008416,942966,43,udp,ftp,REJ,1,probe
1,4089746,31079,1,tcp,ftp,S0,1,r2l
812,793199,819474,19,icmp,smtp,REJ,0,normal
284,29404,431099,26,icmp,ssh,REJ,0,normal
552,857574,908207,47,tcp,http,REJ,0,normal
709,376833,88006,35,tcp,ssh,SF,0,normal
457,183187,930613,46,icmp,ftp,RSTO,0,normal
458,797398,74788,32,tcp,http,SF,0,normal
236,578481,59869,42,icmp,smtp,S0,0,normal
889,998172,930191,15,icmp,http,S0,0,normal
806,133353,112044,15,udp,smtp,REJ,0,normal
86,9285118,852504,18,tcp,ssh,REJ,1,probe
